0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-68.02726390838623,-120.0,-20.82628297805786,-22.126268057823182,-120.0,-120.0,-120.0,-28.28625305175781,-120.0,-120.0,-120.0,-33.66624978065491,-35.66627451419831,-37.04625387191773,-39.14712660312652,-40.726264691352846,-43.72627349853516,-45.04628207206726,-46.747127790451046,-47.966263990402226,-49.56628211021423,-51.126265163421635,-52.506304597854616,-53.826255807876585,-57.026246104240414,-58.46656712532044,-60.24642345428467,-61.58626080513,-62.96625415325165,-64.3262831735611,-66.12625524044037
-68.04648302555084,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-26.986264925003052,-29.46628195285797,-30.606248641014098,-120.0,-120.0,-120.0,-37.02626212120056,-39.1862505531311,-40.70628545761109,-43.74625704288483,-45.026260542869565,-46.76625829219818,-47.94640744209289,-49.586249966621395,-51.106258649826046,-52.526282057762145,-53.806380672454836,-57.04627833366394,-58.44625596046448,-60.26630452632904,-61.56624749183655,-62.986282286643984,-64.3062823343277,-66.14652262210845
-68.0662605857849,-120.0,-20.166401052474974,-23.266261358261108,-24.566503047943115,-120.0,-25.76626992225647,-120.0,-120.0,-120.0,-32.42715718746185,-33.64713674068451,-35.68644203186035,-36.986285047531126,-39.20625277042389,-40.68625226974487,-43.766403470039364,-45.00627987861633,-67.04625916957855,-47.92630650520324,-49.606285443305964,-51.06625629901886,-52.54629288673401,-53.78628294467926,-57.06719125747681,-58.42629617214203,-60.28625441551208,-61.54628374099732,-63.00628277301789,-64.28626437664032,-66.16649444580078
-68.08629737854004,-120.0,-22.1662606716156,-120.0,-120.0,-120.0,-120.0,-27.006275668144227,-29.486263599395752,-120.0,-120.0,-33.62628523826599,-35.70628501415253,-36.96722418785095,-39.22628343105316,-120.0,-43.786275997161866,-44.986282148361205,-67.02626363277435,-47.906266741752624,-49.62628103733063,-51.04713673591614,-52.56628012180328,-53.76625313282013,-57.086268858909605,-58.40650347232818,-60.30627828598023,-61.5262553691864,-63.026405367851254,-64.26627191066743,-66.1864128303528
-68.1062650680542,-120.0,-22.186298575401306,-120.0,-24.586273646354677,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-35.726442165374756,-36.94626857280731,-39.246385293006895,-40.666265878677365,-43.80625615119934,-44.966415586471555,-46.80625739097595,-47.886289668083194,-49.64629529476166,-51.02625193119049,-52.58628282546997,-53.74625116348267,-57.10626252174377,-58.38625205516815,-60.32625915050507,-61.50627281188965,-63.046474647521975,-64.24641492366791,-66.20625890254973
-68.12713762283326,-120.0,-120.0,-23.246282863616944,-24.606259088516236,-120.0,-25.74649758338928,-120.0,-29.506270532608035,-30.586282000541686,-120.0,-33.6062677526474,-120.0,-36.9062800693512,-39.2662596321106,-40.646660480499264,-43.82625082015991,-44.94625723361969,-46.826307945251465,-47.86628387928009,-49.66629530906677,-51.00628261566162,-52.60635499477387,-53.72624935626984,-57.12626021385193,-58.36650272369385,-60.34639731407165,-61.486255536079405,-63.066282749176025,-64.22628153324126,-66.22626212596893
-68.14642634391785,-20.206316704750062,-22.20627016067505,-120.0,-24.626268362998964,-120.0,-27.046426243782044,-120.0,-29.526256308555602,-120.0,-32.44626179695129,-120.0,-35.7462689781189,-36.886275396347045,-39.30628670692444,-40.62625754833222,-120.0,-44.926262650489804,-46.84729748249054,-47.8464068365097,-49.68628215789795,-50.98625480651856,-52.6262526845932,-53.706395764350894,-57.14628309726715,-58.346298050880435,-60.36625755310059,-61.466308431625365,-63.08626705169678,-64.20649946212768,-66.24625817775726
-68.18631593704224,-120.0,-22.22641438484192,-120.0,-120.0,-120.0,-27.066274724006654,-120.0,-29.5471396112442,-120.0,-120.0,-33.58625348567963,-35.76626721382141,-36.86716597557068,-39.3262636756897,-40.60690841674805,-43.84625432014465,-44.90628296852112,-46.866255607604984,-47.82625683784485,-49.70627531528473,-50.96627223014832,-52.64625599384308,-53.686260476112366,-57.16712324142456,-58.32628065109253,-60.38626060962677,-61.446473507881166,-63.10627677440643,-64.18625524044037,-66.26638093948364
-68.20627322673798,-20.226244010925292,-22.246271839141848,-120.0,-24.646271376609803,-120.0,-25.72626256942749,-120.0,-29.566391758918762,-30.5662672662735,-120.0,-120.0,-35.786282925605775,-36.826414585113525,-39.346385493278504,-40.58630665302277,-43.867127895355225,-44.886271080970765,-46.88625948905945,-120.0,-49.726296324729915,-50.946380643844606,-52.66628244876861,-53.66625523090362,-57.186264605522155,-58.306256670951846,-60.40625902652741,-61.426248960494995,-63.127129526138305,-64.14627524852753,-66.2864828824997
-68.22626000881195,-20.246267552375794,-120.0,-120.0,-24.666283445358275,-120.0,-27.086274032592772,-28.22645709991455,-120.0,-120.0,-32.4662672662735,-33.5662539434433,-35.80625859737396,-36.80626393318177,-39.36625177383423,-40.566281185150146,-43.886310582160945,-44.86659202575684,-46.9063013458252,-47.80626121520996,-49.74625397205352,-50.9262833738327,-52.6864093208313,-53.64624613285065,-57.20626740455627,-58.286282954216006,-60.42628127098084,-61.40625570774078,-63.14628043651581,-64.12625472545623,-66.30625974178315
