0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-120.0,-29.305965771675112,-120.0,-120.0,-120.0,-20.066101927757263,-21.92593256473541,-22.945922927856444,-24.50595928668976,-25.84593725681305,-27.926113333702087,-120.0,-30.88593128681183,-31.725937952995302,-120.0
-120.0,-29.325917496681214,-29.34592957019806,-120.0,-120.0,-20.08608959197998,-21.905935845375062,-22.966018042564393,-24.485929870605467,-25.865952372550964,-27.90593246459961,-120.0,-30.86597791671753,-31.746897320747376,-120.0
-120.0,-120.0,-29.36592631816864,-120.0,-120.0,-120.0,-21.885956439971924,-22.985948038101196,-24.465923285484315,-25.885948696136474,-27.885923948287964,-120.0,-30.84596570968628,-31.765936427116394,-120.0
-120.0,-120.0,-29.385958800315855,-120.0,-120.0,-20.105953431129457,-21.86592022895813,-23.00593375205994,-24.445926961898802,-25.90593645095825,-27.865952191352843,-120.0,-30.825937418937684,-31.78593740940094,-120.0
-120.0,-120.0,-120.0,-29.405929031372068,-120.0,-20.12597641468048,-21.84593740940094,-23.02599949836731,-24.426152601242066,-25.925952224731446,-27.845949087142944,-120.0,-30.805937452316286,-31.805932269096374,-120.0
-120.0,-120.0,-120.0,-29.425921306610107,-29.445937714576722,-20.145937452316286,-21.82592631340027,-23.045936269760134,-24.405924882888794,-25.96593924999237,-27.825927090644836,-120.0,-30.786016216278078,-31.825928502082824,-120.0
-120.0,-120.0,-120.0,-120.0,-29.465937576293946,-20.16592481136322,-21.805985145568847,-23.065956864356995,-24.38592481136322,-25.986074676513674,-27.805928339958193,-120.0,-30.76593467235565,-31.846098098754883,-120.0
-120.0,-120.0,-120.0,-120.0,-29.485921354293822,-20.186152114868165,-21.78596116065979,-23.105917406082153,-24.36592803955078,-26.005934567451476,-27.785969386100767,-120.0,-30.74595221042633,-31.865969438552856,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-29.505911169052126,-21.765932970046997,-23.125922861099244,-24.345954179763794,-26.02596508026123,-27.766145014762877,-120.0,-30.72592917919159,-31.88591878414154,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-29.52593508243561,-21.745923280715942,-23.145957441329955,-24.326115860939026,-26.045927629470825,-27.746012206077577,-120.0,-30.705930891036985,-31.90593066215515,-120.0
