0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-120.0,-20.28586850643158,-21.286107172966002,-24.165903716087342,-25.585905728340148,-26.685868306159975,-28.245867562294006,-29.40587917327881,-30.945865659713746,-31.98590178012848,-34.565868134498594,-36.565878968238835,-37.78676567077637,-38.88588771343231,-39.885885086059574,-41.68588876724243,-43.746786489486695,-44.76589869499206,-46.12587113857269,-47.485905785560604,-120.0
-120.0,-20.305894446372985,-21.265952033996584,-24.18593407154083,-25.56606665611267,-26.706115460395814,-28.225903239250183,-29.42591691017151,-30.925873908996582,-32.00590670108795,-34.545918345451355,-120.0,-37.76587279319763,-120.0,-39.865875906944275,-41.70585566043854,-43.76587069988251,-44.745879740715026,-46.14603341579438,-47.465886340141296,-120.0
-20.345935492515565,-120.0,-21.245868101119996,-24.206050605773925,-25.545855665206908,-26.725930213928223,-28.2058633184433,-29.445894618034362,-30.90586284160614,-32.025869479179384,-34.52587016105652,-120.0,-37.7459020614624,-120.0,-39.84594750404358,-41.72586887359619,-43.78588002204895,-44.72588907718658,-46.16586364746094,-120.0,-47.44590590953827
-20.365929794311523,-120.0,-21.225907130241396,-24.225898246765137,-25.525897221565245,-26.745886030197145,-28.18608181476593,-29.465865468978883,-30.885903062820432,-32.045903096199034,-34.50588765144348,-120.0,-37.72586162090302,-120.0,-39.82590208053589,-41.74586675167084,-43.80587268829346,-44.70589361190796,-46.18586226463318,-47.4259027338028,-120.0
-20.385882029533388,-120.0,-21.205895104408263,-24.2658704328537,-25.505895261764525,-26.765874757766724,-28.165851373672485,-29.485886483192445,-30.86586673259735,-32.06593154907227,-34.485875449180604,-120.0,-39.00587255001068,-120.0,-39.80609090328217,-41.765871400833134,-43.84588644504547,-44.68590630531311,-46.20586744785309,-47.406096997261045,-120.0
-20.405853991508483,-120.0,-21.185860905647278,-24.285852236747743,-25.486086983680725,-26.785902194976806,-28.14589157104492,-29.505918264389038,-30.845883741378785,-32.08587993144989,-34.46586292266846,-120.0,-39.025922188758855,-120.0,-39.78587581634521,-41.78587446212769,-43.865878796577455,-44.66602563858032,-46.22590040683747,-47.38585803985596,-120.0
-20.445890192985534,-120.0,-21.16673565864563,-24.305869646072388,-25.465864644050598,-26.80587481021881,-28.1259068441391,-29.52587818622589,-30.825875668525697,-32.10586693763733,-34.44587212085724,-120.0,-39.04588384628296,-120.0,-39.76593423843384,-41.80602433681488,-43.88586585044861,-44.64589296817779,-46.24587200164795,-47.36587189674377,-120.0
-20.466119470596315,-120.0,-21.145870938301087,-24.325861954689024,-25.44586158275604,-26.82586464881897,-28.105869083404542,-29.545883574485778,-30.805885324478147,-32.125884375572205,-34.42586644172668,-120.0,-39.06587037086487,-120.0,-39.74591034889221,-41.82590171337128,-43.90587778091431,-44.625964255332946,-46.26586675167084,-47.34605085372925,-120.0
-20.485874738693237,-120.0,-21.125903968811034,-24.345876460075377,-25.425902938842775,-26.84587104320526,-28.08586646080017,-29.56588038921356,-30.785876951217652,-32.145884103775025,-34.40590298652649,-36.725900053977966,-39.08589424133301,-120.0,-39.725896067619324,-41.84589047431946,-43.925883917808534,-120.0,-46.30589131832123,-47.30601461410522,-120.0
-20.505889015197752,-120.0,-21.106033606529238,-24.36589485168457,-25.406027550697328,-26.865905723571778,-28.06598582267761,-29.585923023223877,-30.765865116119386,-32.16595316410065,-34.38589999675751,-36.765897331237795,-39.125869035720825,-120.0,-39.70589330673218,-41.865860328674316,-43.965870475769044,-120.0,-44.58587655067444,-47.285925307273864,-120.0
